company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Electricité de France,105,5.0,78903.5,-1.7,740.6,-87.2,374349.4,161203,Utilities,Energy,France,Paris,,no,,no,yes,27,110.0,,Jean-Bernard Lévy,https://www.edf.fr,ECIFY,39857
State Farm Insurance,106,8.0,78898.0,-0.6,3738.9,-33.1,299104.5,57582,Insurance: Property and Casualty (Mutual),Financials,U.S.,Bloomington,Illinois,no,,no,yes,27,114.0,,Michael L. Tipsord,https://www.statefarm.com,,
PowerChina,107,50.0,78486.5,16.5,688.6,-10.9,161989.2,180883,Engineering & Construction,Engineering & Construction,China,Beijing,,no,,no,yes,10,157.0,,Yan Zhiyong,https://www.powerchina.cn,,
Intel,108,30.0,77867.0,8.2,20899.0,-0.7,153091,110600,Semiconductors and Other Electronic Components,Technology,U.S.,Santa Clara,California,no,,no,yes,27,138.0,,Patrick P. Gelsinger,https://www.intel.com,INTC,227030
Sinopharm,109,36.0,77278.2,9.3,1258.7,38,70865.3,176686,Pharmaceuticals,Health Care,China,Beijing,,no,,no,yes,9,145.0,,Liu Jingzhen,https://www.sinopharm.com,,
Humana,110,56.0,77155.0,18.9,3367.0,24.4,34969,48700,Health Care: Insurance and Managed Care,Health Care,U.S.,Louisville,Kentucky,no,,no,yes,23,166.0,,Bruce D. Broussard,https://www.humana.com,HUM,48232
Nippon Life Insurance,111,19.0,76984.3,4,3127.2,77,773869.4,95352,"Insurance: Life, Health (Mutual)",Financials,Japan,Osaka,,no,,no,yes,27,130.0,,Hiroshi Shimizu,https://www.nissay.co.jp,,
COFCO,112,24.0,76855.6,6.5,1377.6,232.6,102649.4,109839,Trading,Wholesalers,China,Beijing,,no,,no,yes,27,136.0,,Luan Richeng,https://www.cofco.com,,
Deutsche Post DHL Group,113,29.0,76122.1,7.4,3394.4,15.6,67684.7,526896,"Mail, Package, and Freight Delivery",Transportation,Germany,Bonn,,no,,no,yes,27,142.0,,Frank Appel,https://www.dpdhl.com,DPSGY,73146
Mitsui,114,58.0,75562.4,19.3,3164.5,-12.1,113163.2,44509,Trading,Wholesalers,Japan,Tokyo,,no,,no,yes,27,172.0,,Kenichi Hori,https://www.mitsui.com,MITSY,37800
