company,rank,rank_change,revenue,revenue_change,profit,profit_change,assets,employees,industry,sector,country,city,state,newcomer,ceo_founder,ceo_woman,profitable,years_on_global_500_list,previous_rank,prev_rank,CEO,Website,Ticker,Market_Cap
Mitsubishi Electric,300,0.0,39538.8,-3.7,1821.9,-10.7,43380.8,145653,"Electronics, Electrical Equip.",Industrials,Japan,Tokyo,,no,,no,yes,27,300.0,,Takeshi Sugiyama,https://www.mitsubishielectric.com,MIELY,28770
China Energy Engineering Group,301,52.0,39439.0,9.2,507.6,28.4,73015,120963,Engineering & Construction,Engineering & Construction,China,Beijing,,no,,no,yes,8,353.0,,Song Hailiang,https://www.ceec.net.cn,,
UBS Group,302,-9.0,39298.0,-5.3,6557.0,52.3,1125765,71551,Banks: Commercial and Savings,Financials,Switzerland,Zurich,,no,,no,yes,27,293.0,,Ralph A. J. G. Hamers,https://www.ubs.com,UBS,71385
Finatis,303,-41.0,39197.1,-13,-211.9,,39314.6,203002,Food & Drug Stores,Food & Drug Stores,France,Paris,,no,,no,no,7,262.0,,Didier Lévêque,https://www.finatis.fr,,236
Oracle,304,10.0,39068.0,-1.1,10135.0,-8.6,115438,135000,Computer Software,Technology,U.S.,Austin,Texas,no,,yes,yes,15,314.0,,Safra A. Catz,https://www.oracle.com,ORCL,253206
Energy Transfer,305,-105.0,38954.0,-28.1,-648.0,-118,95144,11421,Pipelines,Energy,U.S.,Dallas,Texas,no,,no,no,8,200.0,,Thomas E. Long/Marshall S. McCrea III,https://www.energytransfer.com,ET,26873
Daiwa House Industry,306,5.0,38928.8,-3.4,1840.2,-14.4,45687.6,48807,Engineering & Construction,Engineering & Construction,Japan,Osaka,,no,,no,yes,17,311.0,,Keiichi Yoshii,https://www.daiwahouse.co.jp,DWAHY,20378
China Aerospace Science & Technology,307,45.0,38741.9,7,2735.1,4.1,79504.3,179085,Aerospace & Defense,Aerospace & Defense,China,Beijing,,no,,no,yes,7,352.0,,Wu Yansheng,https://www.spacechina.com,,
Jiangsu Shagang Group,308,43.0,38664.5,6,1144.5,59.5,46318.1,45060,Metals,Materials,China,Zhangjiagang,,no,,no,yes,13,351.0,,Shen Bin,https://www.shasteel.cn,,
Zhejiang Hengyi Group,309,0.0,38561.7,16.5,152.0,-22.8,17406.1,22019,Chemicals,Chemicals,China,Hangzhou,,yes,,no,yes,1,309.0, ,Qiu Jianlin,https://www.hengyi.com,,
Dow,310,-27.0,38542.0,-10.3,1225.0,,61470,35700,Chemicals,Chemicals,U.S.,Midland,Michigan,no,,no,yes,2,283.0,,James R. Fitterling,https://www.dow.com,DOW,47561
Shenghong Holding Group,311,144.0,38440.0,37.9,519.8,6.9,17638.6,32272,Chemicals,Chemicals,China,Suzhou City,,no,,no,yes,2,455.0,,Miao Hangen,https://www.shenghonggroup.cn,,
American Express,312,-61.0,38185.0,-18.8,3135.0,-53.6,191367,63700,Diversified Financials,Financials,U.S.,New York,New York City,no,,no,yes,27,251.0,,Stephen J. Squeri,https://www.americanexpress.com,AXP,144097
Meiji Yasuda Life Insurance,313,21.0,38003.6,1.4,1780.4,-6.9,415712.5,46928,"Insurance: Life, Health (Mutual)",Financials,Japan,Tokyo,,no,,no,yes,27,334.0,,Hideki Nagashima,https://www.meijiyasuda.co.jp,,
J. Sainsbury,314,30.0,37943.5,3,-365.7,-289.4,34703.4,117000,Food & Drug Stores,Food & Drug Stores,Britain,London,,no,,no,no,27,344.0,,Simon Roberts,https://www.about.sainsburys.co.uk,JSAIY,8665
Anhui Conch Group,315,52.0,37929.8,11.8,1878.4,5.9,37624.1,59823,"Building Materials, Glass",Materials,China,Wuhu,,no,,no,yes,3,367.0,,Wang Cheng,https://www.chinaconch.com,,
General Dynamics,316,1.0,37925.0,-3.6,3167.0,-9.1,51308,100700,Aerospace & Defense,Aerospace & Defense,U.S.,Reston,Virginia,no,,yes,yes,21,317.0,,Phebe N. Novakovic,https://www.gd.com,GD,57671
Deutsche Bank,317,-26.0,37852.5,-9.4,550.4,,1621487.3,84659,Banks: Commercial and Savings,Financials,Germany,Frankfurt,,no,,no,yes,27,291.0,,Christian Sewing,https://www.db.com,DB,25415
Idemitsu Kosan,318,-82.0,37792.3,-22.7,329.4,,35754.5,16560,Petroleum Refining,Energy,Japan,Tokyo,,no,,no,yes,27,236.0,,Shunichi Kito,https://www.idemitsu.com,IDKOY,6923
Iberdrola,319,-16.0,37767.0,-7.4,4114.6,7.9,149937.5,35637,Utilities,Energy,Spain,Bilbao,,no,,no,yes,17,303.0,,José Ignacio Sánchez Galán,https://www.iberdrola.com,IBDRY,76080
China Aerospace Science & Industry,320,12.0,37697.0,0.2,1955.0,-0.2,58851.6,145148,Aerospace & Defense,Aerospace & Defense,China,Beijing,,no,,no,yes,6,332.0,,Yuan Jie,https://www.casic.com.cn,,
Nike,321,1.0,37403.0,-4.4,2539.0,-37,31342,75400,Apparel,Apparel,U.S.,Beaverton,Oregon,no,,no,yes,15,322.0,,John J. Donahoe II,https://www.nike.com,NKE,226046
Itaú Unibanco Holding,322,-106.0,37279.7,-27.9,3666.5,-46.7,388788.5,96540,Banks: Commercial and Savings,Financials,Brazil,Sao Paulo,,no,,no,yes,8,216.0,,Milton Maluhy Filho,https://www.itau.com.br,ITUB,51978
ZF Friedrichshafen,323,-21.0,37158.6,-9.1,-940.0,-340,44950.2,153522,Motor Vehicles & Parts,Motor Vehicles & Parts,Germany,Friedrichshafen,,no,,no,no,8,302.0,,Wolf-Henning Scheider,https://www.zf.com,,-
Quanta Computer,324,53.0,37042.9,11.2,860.1,66.7,23640.8,90895,"Computers, Office Equipment",Technology,Taiwan,Taoyuan,,no,,no,yes,16,377.0,,Barry Lam,https://www.quantatw.com,,12407
Sumitomo Mitsui Financial Group,325,-88.0,36811.4,-24.7,4837.5,-25.3,2193348.2,86781,Banks: Commercial and Savings,Financials,Japan,Tokyo,,no,,no,yes,27,237.0,,Jun Ohta,https://www.smfg.co.jp,SMFG,45801
Northrop Grumman,326,42.0,36799.0,8.7,3189.0,41.9,44469,97000,Aerospace & Defense,Aerospace & Defense,U.S.,Falls Church,Virginia,no,,yes,yes,22,368.0,,Kathy J. Warden,https://www.northropgrumman.com,NOC,63226
Volvo,327,-68.0,36754.3,-19.6,2097.9,-44.7,62266.4,91843,Motor Vehicles & Parts,Motor Vehicles & Parts,Sweden,Göteborg,,no,,no,yes,27,259.0,,Martin Lundstedt,https://www.volvogroup.com,VLVLY,47691
Suning.com Group,328,-4.0,36564.5,-6.2,-619.5,-143.5,32501.9,69398,Specialty Retailers,Retailing,China,Nanjing,,no,,no,no,5,324.0,,Hou Enlong,https://www.suning.com,,8618
Metro,329,-35.0,36524.7,-11.7,514.7,,15461,95779,Wholesalers: Food and Grocery,Wholesalers,Germany,Düsseldorf,,no,,no,yes,4,294.0,,Steffen Greubel,https://www.metroag.de,MTTWF,4439
USAA,330,25.0,36296.2,1.9,3906.9,-2.5,200348.4,35935,Insurance: Property and Casualty (Stock),Financials,U.S.,San Antonio,Texas,no,,no,yes,8,355.0,,Wayne Peacock,https://www.usaa.com,,-
Sompo Holdings,331,32.0,36283.3,4.9,1344.1,19.3,118613.5,48115,Insurance: Property and Casualty (Stock),Financials,Japan,Tokyo,,no,,no,yes,25,363.0,,Kengo Sakurada,https://www.sompo-hd.com,SMPNY,15233
Yango Longking Group,332,22.0,36263.9,1,540.2,-12,72575.7,28670,Diversified Financials,Financials,China,Fuzhou,,no,,no,yes,5,354.0,,Lin Tengjiao,https://www.yangoholdings.com/,,
Chubb,333,33.0,35994.0,5.3,3533.0,-20.7,190774,31000,Insurance: Property and Casualty (Stock),Financials,Switzerland,Zurich,,no,,no,yes,5,366.0,,Evan G. Greenberg,https://www.chubb.com/us-en,CB,82707
China Electronics,334,52.0,35930.9,10.7,-97.2,-170.6,53587.7,180822,"Electronics, Electrical Equip.",Technology,China,Beijing,,no,,no,no,11,386.0,,Rui Xiaowu,https://www.cec.com.cn,,
Heraeus Holding,335,0.0,35929.1,43.3,,,7055.2,14809,Metals,Materials,Germany,Hanau,,yes,,no,no,9,335.0, ,Jan Rinnert,https://www.heraeus.com,,
Jinchuan Group,336,33.0,35907.1,6.2,360.4,20.9,17602.1,29220,Metals,Materials,China,Jinchang City,,no,,no,yes,3,369.0,,Wang Yongqian,https://www.jnmc.com,,
Banco Bilbao Vizcaya Argentaria,337,-83.0,35872.1,-23.5,1487.0,-62.2,900932.2,123174,Banks: Commercial and Savings,Financials,Spain,Bilbao,,no,,no,yes,27,254.0,,Onur Genç,https://www.bbva.com,BBVA,41186
Xiaomi,338,84.0,35632.6,19.6,2950.1,102.9,38878.1,22074,Internet Services and Retailing,Technology,China,Beijing,,no,,no,yes,3,422.0,,Lei Jun,https://www.mi.com,XIACY,60758
Compal Electronics,339,57.0,35619.1,12.3,317.9,41.3,16627.8,112761,"Computers, Office Equipment",Technology,Taiwan,Taipei,,no,,no,yes,10,396.0,,Martin Wong,https://www.compal.com,,3460
Deere,340,-21.0,35540.0,-9.5,2751.0,-15.4,75091,69634,Construction and Farm Machinery,Industrials,U.S.,Moline,Illinois,no,,no,yes,27,319.0,,John C. May,https://www.deere.com,DE,112270
La Poste,341,92.0,35533.7,22.2,2374.6,158.1,927801.9,219625,"Mail, Package, and Freight Delivery",Transportation,France,Paris,,no,,no,yes,26,433.0,,Philippe Wahl,https://www.groupelaposte.com,,-
DZ Bank,342,-21.0,35498.4,-9.3,993.6,-47.6,727638.4,28061,Banks: Commercial and Savings,Financials,Germany,Frankfurt,,no,,no,yes,27,321.0,,Cornelius Riese/Uwe Fröhlich,https://www.dzbank.com,,
Taikang Insurance Group,343,81.0,35475.6,20.2,3483.6,8.5,173121.2,56899,"Insurance: Life, Health (Mutual)",Financials,China,Beijing,,no,,no,yes,4,424.0,,Chen Dongsheng,https://www.taikang.com,,
China Taiping Insurance Group,344,48.0,35460.5,11.1,415.1,-29.1,150763.8,65900,"Insurance: Life, Health (Mutual)",Financials,China,Hong Kong,,no,,no,yes,4,392.0,,Wang Sidong,https://www.cntaiping.com,,
Barclays,345,-18.0,35404.6,-7.6,3056.2,-26.8,1844785.6,83000,Banks: Commercial and Savings,Financials,Britain,London,,no,,no,yes,27,327.0,,C.S. Venkatakrishnan,https://www.home.barclays,BCS,38684
Cathay Financial Holding,346,28.0,35123.5,4.8,2532.5,24.7,389960.2,57848,"Insurance: Life, Health (stock)",Financials,Taiwan,Taipei,,no,,no,yes,20,374.0,,Hong-Tu Tsai,https://www.cathayholdings.com,,28247
Mitsubishi Heavy Industries,347,-8.0,34902.5,-6.1,383.4,-52.2,43496.6,79974,Industrial Machinery,Industrials,Japan,Tokyo,,no,,no,yes,27,339.0,,Seiji Izumisawa,https://www.mhi.com,MHVYF,9398
Rajesh Exports,348,114.0,34804.8,26.2,113.9,-33,3209.4,377,Trading,Wholesalers,India,Bengaluru,,no,,no,yes,6,462.0,,Rajesh J. Mehta,https://www.rajeshindia.com,,2281
CRRC Group,349,12.0,34778.2,0.2,748.0,43,66931.8,179374,Industrial Machinery,Industrials,China,Beijing,,no,,no,yes,3,361.0,,Sun Yongcai,https://www.crrcgc.cc,,
Abbott Laboratories,350,43.0,34608.0,8.5,4495.0,21.9,72548,109000,Medical Products and Equipment,Health Care,U.S.,Abbott Park,Illinois,no,,no,yes,23,393.0,,Robert B. Ford,https://www.abbott.com,ABT,222504
China South Industries Group,351,83.0,34454.6,18.6,852.6,-13.7,54926.3,164918,Aerospace & Defense,Aerospace & Defense,China,Beijing,,no,,no,yes,12,434.0,,Gong Yande,https://www.csgc.com.cn,,
China Huadian,352,18.0,34440.0,1.9,584.8,88.4,131960.5,93331,Utilities,Energy,China,Beijing,,no,,no,yes,10,370.0,,Wen Shugang,https://www.chd.com.cn,,
CK Hutchison Holdings,353,-25.0,34347.1,-10,3757.5,-26.1,161804,300000,Specialty Retailers,Retailing,China,Hong Kong,,no,,no,yes,6,328.0,,"Li Tzar Kuoi, Victor/Fok Kin Ning, Canning",https://www.ckh.com.hk,CKHUY,28624
China Electronics Technology Group,354,27.0,34311.4,4.1,1879.6,7.9,69212.3,179390,Aerospace & Defense,Aerospace & Defense,China,Beijing,,no,,no,yes,6,381.0,,Chen Zhaoxiong,https://www.cetc.com.cn,,
Poste Italiane,355,-5.0,34205.1,-6.7,1375.3,-8.4,333310.5,123583,"Insurance: Life, Health (stock)",Financials,Italy,Rome,,no,,no,yes,16,350.0,,Matteo Del Fante,https://www.posteitaliane.it,,17069
SNCF Group,356,-38.0,34155.0,-13.1,-3452.5,,156584,271509,Railroads,Transportation,France,St. Denis,,no,,no,no,27,318.0,,Jean-Pierre Farandou,https://www.sncf.com,,
Tata Motors,357,-20.0,34012.8,-8.7,-1812.4,,46915.5,75278,Motor Vehicles & Parts,Motor Vehicles & Parts,India,Mumbai,,no,,no,no,12,337.0,,Girish Wagh,https://www.tatamotors.com,TTM,14420
Fujitsu,358,-2.0,33862.5,-4.6,1912.1,29.9,28844.5,126371,Information Technology Services,Technology,Japan,Tokyo,,no,,no,yes,27,356.0,,Takahito Tokita,https://www.fujitsu.com,FJTSY,34063
Cedar Holdings Group,359,-63.0,33837.0,-18,49.6,-59.4,18875.2,23856,Trading,Wholesalers,China,Guangzhou,,no,,no,yes,4,296.0,,Zhang Jing,https://www.cedarhd.com,,
Northwestern Mutual,360,28.0,33782.1,4.6,425.0,-66.5,308767,6641,"Insurance: Life, Health (Mutual)",Financials,U.S.,Milwaukee,Wisconsin,no,,no,yes,27,388.0,,John E. Schlifske,https://www.northwesternmutual.com,,-
Dollar General,361,99.0,33746.8,21.6,2655.1,55,25862.6,158000,Specialty Retailers,Retailing,U.S.,Goodlettsville,Tennessee,no,,no,yes,4,460.0,,Todd J. Vasos,https://www.dollargeneral.com,DG,48700
Louis Dreyfus,362,9.0,33564.0,-0.7,382.0,66.1,23253,15708,Food Production,"Food, Beverages & Tobacco",Netherlands,Rotterdam,,no,,no,yes,8,371.0,,Michael Gelchie,https://www.ldc.com,,-
Shanghai Construction Group,363,60.0,33525.6,12.7,485.6,-14.6,49250.1,48609,Engineering & Construction,Engineering & Construction,China,Shanghai,,no,,no,yes,2,423.0,,Bian Jiajun,https://www.scg.com.cn,,3729
Sunac China Holdings,364,0.0,33418.4,36.4,5165.8,37.1,169870.5,64436,Real estate,Financials,China,Beijing,,yes,,no,yes,1,364.0, ,Wang Mengde,https://www.sunac.com.cn,,14500
Aisin,365,-6.0,33259.7,-4.5,996.5,350.3,36411.4,118359,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Kariya,,no,,no,yes,20,359.0,,Kiyotaka Ise,https://www.aisin.com,ASEKY,12595
KB Financial Group,366,60.0,33201.2,12.7,2928.8,3.1,561842.5,26948,Banks: Commercial and Savings,Financials,South Korea,Seoul,,no,,no,yes,9,426.0,,Jong Kyoo Yoon,https://www.kbfg.com,KB,18720
Sumitomo Life Insurance,367,24.0,33183.4,3.5,254.4,431.1,371555.9,42954,"Insurance: Life, Health (Mutual)",Financials,Japan,Osaka,,no,,no,yes,27,391.0,,Yukinori Takada,https://www.sumitomolife.co.jp,,
British American Tobacco,368,11.0,33057.6,0.1,8208.0,12.8,188222.2,55329,Tobacco,"Food, Beverages & Tobacco",Britain,London,,no,,no,yes,24,379.0,,Jack Bowles,https://www.bat.com,BTI,86393
Exelon,369,-5.0,33039.0,-4.1,1963.0,-33.1,129317,32340,Utilities,Energy,U.S.,Chicago,Illinois,no,,no,yes,18,364.0,,Christopher M. Crane,https://www.exeloncorp.com,EXC,55451
Coca-Cola,370,-35.0,33014.0,-11.4,7747.0,-13.2,87296,80300,Beverages,"Food, Beverages & Tobacco",U.S.,Atlanta,Georgia,no,,no,yes,27,335.0,,James R. Quincey,https://www.coca-colacompany.com,KO,261109
China National Nuclear,371,122.0,32662.8,25.7,1188.3,7.6,139809.5,183400,Energy,Energy,China,Beijing,,no,,no,yes,2,493.0,,Yu Jianfeng,https://www.cnnc.com.cn,,
Magna International,372,-57.0,32647.0,-17.2,757.0,-57.1,28605,158000,Motor Vehicles & Parts,Motor Vehicles & Parts,Canada,"Aurora, Ontario",,no,,no,yes,21,315.0,,Seetarama Kotagiri,https://www.magna.com,MGA,25684
Jardine Matheson,372,-71.0,32647.0,-20.2,-394.0,-113.9,93526,403000,Motor Vehicles & Parts,Motor Vehicles & Parts,China,Hong Kong,,no,,no,no,22,301.0,,John Witt,https://www.jardines.com,JMHLY,44887
Honeywell International,374,-27.0,32637.0,-11.1,4779.0,-22.2,64586,103000,"Electronics, Electrical Equip.",Industrials,U.S.,Charlotte,North Carolina,no,,no,yes,27,347.0,,Darius E. Adamczyk,https://www.honeywell.com,HON,141196
Jingye Group,375,0.0,32528.2,76.4,607.3,-6.9,10708.7,31000,Metals,Materials,China,Shijiazhuang,,yes,,no,yes,1,375.0, ,Li Ganpo,https://www.hbjyjt.com,,
Bank of Nova Scotia,376,-18.0,32501.1,-7.4,5037.8,-20.2,852306.9,92001,Banks: Commercial and Savings,Financials,Canada,"Toronto, Ontario",,no,,no,yes,24,358.0,,Brian J. Porter,https://www.scotiabank.com,BNS,74731
Phoenix Pharma,377,33.0,32386.9,6.2,221.3,3337.1,12566.5,33090,Wholesalers: Health Care,Health Care,Germany,Mannheim,,no,,no,yes,11,410.0,,Sven Seidel,https://www.phoenixgroup.eu,,
Credit Suisse Group,378,-21.0,32343.3,-9.9,2843.4,-17.4,911976,48770,Banks: Commercial and Savings,Financials,Switzerland,Zurich,,no,,no,yes,27,357.0,,Thomas P. Gottstein,https://www.credit-suisse.com,CS,26421
Sun Life Financial,379,39.0,32315.7,8.1,1862.7,-8.9,253640.4,23816,"Insurance: Life, Health (stock)",Financials,Canada,"Toronto, Ontario",,no,,no,yes,15,418.0,,Kevin D. Strain,https://www.sunlife.com,SLF,29797
Thermo Fisher Scientific,380,118.0,32218.0,26.1,6375.0,72.5,69052,84362,"Scientific,Photographic and Control Equipment",Technology,U.S.,Waltham,Massachusetts,no,,no,yes,2,498.0,,Marc N. Casper,https://www.thermofisher.com,TMO,228678
Repsol,381,-136.0,32188.3,-32.3,-3747.6,,60335.8,23203,Petroleum Refining,Energy,Spain,Madrid,,no,,no,no,27,245.0,,Josu Jon Imaz San Miguel,https://www.repsol.com,REPYY,16513
3M,382,7.0,32184.0,0.1,5384.0,17.8,47344,94987,Chemicals,Chemicals,U.S.,St. Paul,Minnesota,no,,no,yes,27,389.0,,Michael F. Roman,https://www.3m.com,MMM,99490
TJX,383,-91.0,32137.0,-23,90.5,-97.2,30813.6,320000,Specialty Retailers,Retailing,U.S.,Framingham,Massachusetts,no,,no,yes,20,292.0,,Ernie L. Herrman,https://www.tjx.com,TJX,80472
Shandong Iron & Steel Group,384,75.0,31990.3,15.3,129.4,496.6,57269.8,50131,Metals,Materials,China,Jinan,,no,,no,yes,2,459.0,,Hou Jun,https://www.shansteelgroup.com,,
Travelers Cos.,385,14.0,31981.0,1.3,2697.0,2.9,116764,30294,Insurance: Property and Casualty (Stock),Financials,U.S.,New York,New York City,no,,no,yes,18,399.0,,Alan D. Schnitzer,https://www.travelers.com,TRV,39222
Migros Group,386,62.0,31903.3,10.5,1882.4,434.3,82368.7,85226,Food & Drug Stores,Food & Drug Stores,Switzerland,Zurich,,no,,no,yes,27,448.0,,Fabrice Zumbrunnen,https://www.migros.ch,,
L&#8217;Oréal,387,-12.0,31895.6,-4.6,4060.3,-3.3,53366.1,85392,Household and Personal Products,Household Products,France,Clichy,,no,,no,yes,27,375.0,,Nicolas Hieronimus,https://www.loreal.com,LRLCY,237592
Fubon Financial Holding,388,15.0,31837.8,2.7,3065.4,62,329206.7,44369,"Insurance: Life, Health (stock)",Financials,Taiwan,Taipei,,no,,no,yes,4,403.0,,Richard M. Tsai,https://www.fubon.com,FUIZF,30715
Capital One Financial,389,-17.0,31643.0,-6.3,2714.0,-51.1,421602,51985,Banks: Commercial and Savings,Financials,U.S.,McLean,Virginia,no,,no,yes,11,372.0,,Richard D. Fairbank,https://www.capitalone.com,COF,55933
New Hope Holding Group,390,0.0,31605.7,184.7,515.4,,48435.3,140757,Food Production,"Food, Beverages & Tobacco",China,Chengdu,,yes,,no,yes,1,390.0, ,Liu Yonghao,https://www.newhopegroup.com,,
ING Group,391,-49.0,31604.9,-14.6,2563.8,-41.3,1142895.8,57527,Banks: Commercial and Savings,Financials,Netherlands,Amsterdam,,no,,no,yes,27,342.0,,Steven van Rijswijk,https://www.ing.com,ING,47999
Tesla,392,0.0,31536.0,28.3,721.0,,52148,70757,Motor Vehicles & Parts,Motor Vehicles & Parts,U.S.,Palo Alto,California,yes,,no,yes,1,392.0, ,Elon Musk,https://www.tesla.com,TSLA,947926
CMA CGM,393,22.0,31445.1,3.9,1755.3,,32899.8,90792,Shipping,Transportation,France,Marseille,,no,,no,yes,2,415.0,,Rodolphe J. Saadé,https://www.cma-cgm.com,,
Bharat Petroleum,394,-85.0,31315.1,-22.5,2178.0,405.4,22012.4,9257,Petroleum Refining,Energy,India,Mumbai,,no,,no,yes,18,309.0,,K Padmakar,https://www.bharatpetroleum.in,,13429
SAP,395,9.0,31150.3,1,5862.5,57.7,71558,102430,Computer Software,Technology,Germany,Walldorf,,no,,no,yes,6,404.0,,Christian Klein,https://www.sap.com,SAP,166650
Shenzhen Investment Holdings,396,46.0,31143.6,7.9,1661.0,4.2,129558.2,75102,Diversified Financials,Financials,China,Shenzhen,,no,,no,yes,2,442.0,,Wang Yongjian,https://www.sihc.com.cn/en,,
Coop Group,397,28.0,31057.5,4.1,574.2,7.4,23365.8,78578,Food & Drug Stores,Food & Drug Stores,Switzerland,Basel,,no,,no,yes,12,425.0,,Joos Sutter,https://www.coop.ch,,
Hyundai Mobis,398,-13.0,31047.2,-4.9,1296.2,-34.1,44619.8,35087,Motor Vehicles & Parts,Motor Vehicles & Parts,South Korea,Seoul,,no,,no,yes,10,385.0,,Sung-Hwan Cho,https://www.mobis.co.kr,,23234
Anglo American,399,20.0,30902.0,3.5,2089.0,-41.1,62534,64000,"Mining, Crude-Oil Production",Energy,Britain,London,,no,,no,yes,20,419.0,,Mark Cutifani,https://www.angloamerican.com,NGLOY,50107
Ansteel Group,400,1.0,30885.6,-1.9,258.5,,52135.4,119331,Metals,Materials,China,Anshan,,no,,no,yes,8,401.0,,Tan Chengxu,https://www.ansteel.cn,,
Mitsubishi Chemical Holdings,401,-25.0,30729.1,-8,-71.3,-114.3,47805,69607,Chemicals,Chemicals,Japan,Tokyo,,no,,no,no,27,376.0,,Jean-Marc Gilson,https://www.mitsubishichem-hd.co.jp,MTLHY,12407
Siemens Energy,402,0.0,30722.9,,-1797.0,,50433.5,92000,Energy,Energy,Germany,Munich,,yes,,no,no,1,402.0, ,Christrian Bruch,https://www.siemens-energy.com,SMNEY,19676
Shanxi Coking Coal Group,403,82.0,30453.7,16.3,159.9,-24.4,67852.8,212698,"Mining, Crude-Oil Production",Energy,China,Taiyuan,,no,,no,yes,8,485.0,,Zhao Jianze,https://www.sxcc.com.cn,,
JFE Holdings,404,-39.0,30443.7,-11.3,-206.3,,42088.4,64371,Metals,Materials,Japan,Tokyo,,no,,no,no,19,365.0,,Koji Kakigi,https://www.jfe-holdings.co.jp,JFEEF,6862
Haier Smart Home,405,30.0,30395.0,4.6,1286.5,8.3,31181.5,99299,"Electronics, Electrical Equip.",Industrials,China,Qingdao,,no,,no,yes,4,435.0,,Liang Haishan,https://www.haier.net,HSHCY,41993
Mizuho Financial Group,406,-57.0,30357.1,-17.2,4443.2,7.7,2039658.3,54492,Banks: Commercial and Savings,Financials,Japan,Tokyo,,no,,no,yes,21,349.0,,Tatsufumi Sakai,https://www.mizuho-fg.co.jp,MFG,35921
TongLing Nonferrous Metals Group,407,49.0,30301.1,8.9,-25.8,,14266.4,22501,Metals,Materials,China,Tongling,,no,,no,no,3,456.0,,Gong Huadong,https://www.tnmg.com.cn,,
Medipal Holdings,408,9.0,30291.3,1.2,225.7,-35.4,15189.3,14614,Wholesalers: Health Care,Wholesalers,Japan,Tokyo,,no,,no,yes,19,417.0,,Shuichi Watanabe,https://www.medipal.co.jp,MAHLY,4713
Takeda Pharmaceutical,409,5.0,30165.7,-0.3,3546.9,771.7,116747.7,47099,Pharmaceuticals,Health Care,Japan,Tokyo,,no,,no,yes,2,414.0,,Christophe Weber,https://www.takeda.com,TAK,53085
ABB,410,-70.0,30142.0,-18.6,5146.0,257.6,41088,105600,Industrial Machinery,Industrials,Switzerland,Zurich,,no,,no,yes,27,340.0,,Björn Rosengren,https://www.global.abb/group/,ABB,75630
Shougang Group,411,18.0,30053.7,2.7,42.5,6.2,78468.5,97235,Metals,Materials,China,Beijing,,no,,no,yes,10,429.0,,Zhang Gongyan,https://www.shougang.com.cn,,
Suzuki Motor,412,-22.0,29980.8,-6.6,1381.2,11.9,36495.1,68739,Motor Vehicles & Parts,Motor Vehicles & Parts,Japan,Hamamatsu,,no,,no,yes,27,390.0,,Toshihiro Suzuki,https://www.globalsuzuki.com,SZKMY,20208
Veolia Environnement,413,-1.0,29637.0,-2.6,101.2,-85.5,55516.3,171450,Utilities,Energy,France,Aubervilliers,,no,,no,yes,19,412.0,,Antoine Frérot,https://www.veolia.com,VEOEY,17808
Canon,414,-34.0,29598.9,-10.2,780.4,-32,44813.2,181897,"Computers, Office Equipment",Technology,Japan,Tokyo,,no,,no,yes,27,380.0,,Fujio Mitarai,https://global.canon,CAJ,32258
New China Life Insurance,415,0.0,29544.6,18.6,2071.6,-1.7,153927.4,36309,"Insurance: Life, Health (stock)",Financials,China,Beijing,,yes,,no,yes,3,415.0, ,Li Quan,https://www.newchinalife.com,,17487
Samsung Life Insurance,416,51.0,29273.8,7.3,1073.0,27.9,309657,5273,"Insurance: Life, Health (stock)",Financials,South Korea,Seoul,,no,,no,yes,25,467.0,,Young-Muk Jeon,https://www.samsunglife.com,,13437
Kansai Electric Power,417,11.0,29171.3,-0.4,1028.0,-14,73017.7,31933,Utilities,Energy,Japan,Osaka,,no,,no,yes,27,428.0,,Takashi Morimoto,https://www.kepco.co.jp,KAEPY,8914
Enbridge,418,-87.0,29146.5,-22.8,2507.7,-41.7,125854.7,12100,Pipelines,Energy,Canada,"Calgary, Alberta",,no,,no,yes,8,331.0,,Al Monaco,https://www.enbridge.com,ENB,78357
Medtronic,419,-11.0,28913.0,-5.4,4789.0,3.4,90689,104950,Medical Products and Equipment,Health Care,Ireland,Dublin,,no,,no,yes,5,408.0,,Geoffrey S. Martha,https://www.medtronic.com,MDT,141985
Toshiba,420,-18.0,28812.6,-7.6,1075.2,,31651.3,117300,"Electronics, Electrical Equip.",Technology,Japan,Tokyo,,no,,no,yes,26,402.0,,Satoshi Tsunakawa,https://www.toshiba.co.jp,TOSYY,19419
Wistron,421,31.0,28694.5,1,294.8,34,15270.9,69506,"Computers, Office Equipment",Technology,Taiwan,Taipei,,no,,no,yes,6,452.0,,Simon Lin,https://www.wistron.com,,2922
Philip Morris International,422,-1.0,28694.0,-3.7,8056.0,12.1,44815,71000,Tobacco,"Food, Beverages & Tobacco",U.S.,New York,New York City,no,,no,yes,13,421.0,,Jacek Olczak,https://www.pmi.com,PM,151552
Arrow Electronics,423,18.0,28673.4,-0.8,584.4,,17053.9,19600,Wholesalers: Electronics and Office Equipment,Wholesalers,U.S.,Centennial,Colorado,no,,no,yes,8,441.0,,Michael J. Long,https://www.arrow.com,ARW,8681
Schneider Electric,424,-11.0,28667.4,-5.7,2422.5,-10.3,60556.1,126328,"Electronics, Electrical Equip.",Industrials,France,Rueil-Malmaison,,no,,no,yes,20,413.0,,Jean-Pascal Tricoire,https://www.se.com/ww/en,SBGSY,101996
